,Winning Percentage,Runs Scored,Runs Allowed
data,0.691,525,365
data,0.66,491,357
data,0.516,394,370
data,0.457,421,462
data,0.281,339,499
data,0.543,482,403
data,0.462,413,440
data,0.412,380,453
data,0.34,374,509
data,0.287,336,520
data,0.653,497,306
data,0.604,409,410
data,0.563,443,423
data,0.51,422,396
data,0.427,419,481
,,,
data,0.564,406,383
data,0.548,451,387
data,0.495,411,386
data,0.419,362,425
data,0.412,366,486
data,0.587,469,358
data,0.567,420,370
data,0.505,407,398
data,0.49,418,444
data,0.453,457,487
data,0.552,420,373
data,0.547,448,368
data,0.526,463,465
data,0.515,397,419
data,0.408,361,458
